Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2010-01-01 00:00:00,10H30,1700-1799,SAMPSON,Theft,residence/house,1,0,1,Friday,Jan,2010,1750,1750 SAMPSON,"((29.7390659, -95.34897509999999), '1750 Sampson St, Houston, TX 77003, USA')"
2010-01-01 19:00:00,10H30,500-599,BASTROP,Theft,apartment parking lot,1,19,1,Friday,Jan,2010,550,550 BASTROP,"((29.7536483, -95.3510778), '550 Bastrop St, Houston, TX 77003, USA')"
2010-01-01 20:00:00,10H30,1700-1799,HUTCHINS,Theft,residence/house,1,20,1,Friday,Jan,2010,1750,1750 HUTCHINS,"((29.7452984, -95.3593236), '1750 Hutchins St, Houston, TX 77003, USA')"
2010-01-02 01:00:00,10H30,2000-2099,LEELAND,Theft,road/street/sidewalk,1,1,2,Saturday,Jan,2010,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2010-01-03 04:00:00,10H30,1900-1999,COMMERCE,Theft,commercial parking lot/garage,1,4,3,Sunday,Jan,2010,1950,1950 COMMERCE,"((29.7588305, -95.35140249999999), '1950 Commerce St, Houston, TX 77002, USA')"
2010-01-03 18:00:00,10H30,2000-2099,MCKINNEY,Theft,construction site,1,18,3,Sunday,Jan,2010,2050,2050 MCKINNEY,"((29.7511977, -95.3561884), '2050 McKinney St, Houston, TX 77003, USA')"
2010-01-04 08:00:00,10H30,1700-1799,ADEN MIST,Burglary,apartment,1,8,4,Monday,Jan,2010,1750,1750 ADEN MIST,"((29.741344, -95.35397789999999), '1750 Aden Mist Dr, Houston, TX 77003, USA')"
2010-01-05 13:00:00,10H30,100-199,CHARTRES,Theft,road/street/sidewalk,1,13,5,Tuesday,Jan,2010,150,150 CHARTRES,"((29.7611979, -95.34920699999999), '150 Chartres St, Houston, TX 77003, USA')"
2010-01-05 18:00:00,10H30,2300-2399,LAMAR,Burglary,commercial building,1,18,5,Tuesday,Jan,2010,2350,2350 LAMAR,"((29.7488639, -95.3537793), '2350 Lamar St, Houston, TX 77003, USA')"
2010-01-06 00:00:00,10H30,900-999,MCKINNEY PARK,Theft,driveway,1,0,6,Wednesday,Jan,2010,950,950 MCKINNEY PARK,"((29.7571808, -95.36528919999999), '950 McKinney St, Houston, TX 77002, USA')"
2010-01-07 21:00:00,10H30,2500-2599,RUSK,Theft,road/street/sidewalk,1,21,7,Thursday,Jan,2010,2550,2550 RUSK,"((29.7502127, -95.35054699999999), '2550 Rusk St, Houston, TX 77003, USA')"
2010-01-08 08:00:00,10H30,3100-3199,POLK,Theft,other parking lot,1,8,8,Friday,Jan,2010,3150,3150 POLK,"((29.7430184, -95.3485319), '3150 Polk St, Houston, TX 77003, USA')"
2010-01-08 16:00:00,10H30,2100-2199,RUSK,Theft,road/street/sidewalk,1,16,8,Friday,Jan,2010,2150,2150 RUSK,"((29.752323, -95.35382469999999), '2150 Rusk St, Houston, TX 77003, USA')"
2010-01-08 23:00:00,10H30,2100-2199,LAMAR,Theft,bar/night club parking lot,1,23,8,Friday,Jan,2010,2150,2150 LAMAR,"((29.7499994, -95.3558456), '2150 Lamar St, Houston, TX 77003, USA')"
2010-01-08 23:00:00,10H30,2000-2099,MCKINNEY,Theft,bar/night club parking lot,1,23,8,Friday,Jan,2010,2050,2050 MCKINNEY,"((29.7511977, -95.3561884), '2050 McKinney St, Houston, TX 77003, USA')"
2010-01-09 00:00:00,10H30,2400-2499,POLK,Burglary,misc. business (non-specific),1,0,9,Saturday,Jan,2010,2450,2450 POLK,"((29.7463608, -95.3546763), '2450 Polk St, Houston, TX 77003, USA')"
2010-01-09 01:00:00,10H30,2000-2099,LEELAND,Theft,commercial parking lot/garage,1,1,9,Saturday,Jan,2010,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2010-01-11 18:00:00,10H30,1800-1899,MILBY,Auto Theft,other/unknown,1,18,11,Monday,Jan,2010,1850,1850 MILBY,"((29.736935, -95.34435789999999), '1850 Milby St, Houston, TX 77003, USA')"
2010-01-11 20:00:00,10H30,1400-1499,MILBY,Theft,residence/house,1,20,11,Monday,Jan,2010,1450,1450 MILBY,"((29.7393956, -95.3433508), '1450 Milby St, Houston, TX 77003, USA')"
2010-01-11 23:00:00,10H30,2000-2099,MCKINNEY,Theft,restaurant/cafeteria parking lot,1,23,11,Monday,Jan,2010,2050,2050 MCKINNEY,"((29.7511977, -95.3561884), '2050 McKinney St, Houston, TX 77003, USA')"
2010-01-12 12:00:00,10H30,2700-2799,CLAY,Burglary,residence/house,1,12,12,Tuesday,Jan,2010,2750,2750 CLAY,"((29.7444096, -95.3523431), '2750 Clay St, Houston, TX 77003, USA')"
2010-01-13 14:00:00,10H30,2300-2399,LAMAR,Theft,vacant building (commercial),1,14,13,Wednesday,Jan,2010,2350,2350 LAMAR,"((29.7488639, -95.3537793), '2350 Lamar St, Houston, TX 77003, USA')"
2010-01-13 22:00:00,10H30,1900-1999,BELL,Robbery,road/street/sidewalk,1,22,13,Wednesday,Jan,2010,1950,1950 BELL,"((29.75480599999999, -95.404411), '1950 W Bell St, Houston, TX 77019, USA')"
2010-01-15 14:00:00,10H30,1700-1799,ENNIS,Theft,other/unknown,1,14,15,Friday,Jan,2010,1750,1750 ENNIS,"((29.7410944, -95.3522058), '1750 Ennis St, Houston, TX 77003, USA')"
2010-01-16 20:00:00,10H30,3200-3299,DALLAS,Theft,apartment parking lot,1,20,16,Saturday,Jan,2010,3250,3250 DALLAS,"((29.7574315, -95.40048360000002), '3250 W Dallas St, Houston, TX 77019, USA')"
2010-01-16 21:00:00,10H30,2300-2399,JEFFERSON,Burglary,vehicle/auto sales/lease/auto parts store,1,21,16,Saturday,Jan,2010,2350,2350 JEFFERSON,"((29.7436105, -95.35807129999999), '2350 Jefferson St, Houston, TX 77003, USA')"
2010-01-17 12:00:00,10H30,2200-2299,DALLAS,Theft,apartment,1,12,17,Sunday,Jan,2010,2250,2250 DALLAS,"((29.7488265, -95.35544519999999), '2250 Dallas St, Houston, TX 77003, USA')"
2010-01-20 01:00:00,10H30,2100-2199,TEXAS,Auto Theft,road/street/sidewalk,1,1,20,Wednesday,Jan,2010,2150,2150 TEXAS,"((29.7540067, -95.3529071), '2150 Texas St, Houston, TX 77003, USA')"
