Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
1992-09-21,10H80,2100-2199,BISSONNET,Theft,RESIDENCE/HOUSE,1.0,15.0,21,Monday,Sep,1992
1993-06-01,10H80,2500-2599,BOLSOVER,Rape,RESIDENCE/HOUSE,1.0,20.0,1,Tuesday,Jun,1993
2000-02-12,10H80,2400-2499,TIMES,Theft,---,1.0,14.0,12,Saturday,Feb,2000
2001-12-13,10H80,2400-2499,SOUTH,Theft,OTHER PARKING LOT,1.0,16.0,13,Thursday,Dec,2001
2003-05-28,10H80,6100-6199,MAIN,Theft,University or College,1.0,16.0,28,Wednesday,May,2003
2005-01-01,10H80,2500-2599,ROBINHOOD,Theft,OFFICE BUILDING,1.0,18.0,1,Saturday,Jan,2005
2005-06-23,10H80,2100-2199,HOLCOMBE,Theft,"GYM,RECREAT,CLUB HSE,INDR POOL,SPA",1.0,17.0,23,Thursday,Jun,2005
2006-01-12,10H80,2400-2499,BISSONNET,Theft,"GYM,RECREAT,CLUB HSE,INDR POOL,SPA",1.0,0.0,12,Thursday,Jan,2006
2006-12-10,10H80,2500-2599,DUNSTAN,Theft,"GYM,RECREAT,CLUB HSE,INDR POOL,SPA",1.0,17.0,10,Sunday,Dec,2006
2006-12-19,10H80,2200-2299,DORRINGTON,Theft,OTHER PARKING LOT,1.0,12.0,19,Tuesday,Dec,2006
2007-01-01,10H80,2500-2599,BOLSOVER,Rape,"Church, Synagogue, or Temple",1.0,7.0,1,Monday,Jan,2007
2007-12-02,10H80,1000-1099,BISSONNET,Theft,"Parks and Recreation, Zoo, Swimming Pool",1.0,15.0,2,Sunday,Dec,2007
2008-02-28,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,2.0,28,Thursday,Feb,2008
2008-04-21,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA,1.0,0.0,21,Monday,Apr,2008
2009-01-06,10H80,2500-2599,RICE,Theft,SPECIALTY STORE (NON-SPECIFIC),1.0,13.0,6,Tuesday,Jan,2009
2009-07-05,10H80,2000-2099,WROXTON,Burglary,GARAGE/CARPORT,1.0,11.0,5,Sunday,Jul,2009
2009-08-23,10H80,2100-2199,UNIVERSITY,Theft,RESIDENCE/HOUSE,1.0,0.0,23,Sunday,Aug,2009
2009-08-31,10H80,2200-2299,SHAKESPEARE,Theft,OTHER/UNKNOWN,1.0,0.0,31,Monday,Aug,2009
2009-09-08,10H80,2000-2099,ALBANS,Theft,RESIDENCE/HOUSE,1.0,18.0,8,Tuesday,Sep,2009
2009-11-01,10H80,2200-2299,TANGLEY,Theft,RESIDENCE/HOUSE,1.0,0.0,1,Sunday,Nov,2009
2009-12-08,10H80,1100-1199,AUTREY,Theft,RESIDENCE/HOUSE,1.0,22.0,8,Tuesday,Dec,2009
2009-12-24,10H80,2500-2599,SHAKESPEARE,Theft,APARTMENT PARKING LOT,1.0,0.0,24,Thursday,Dec,2009
2009-12-29,10H80,2400-2499,HOLCOMBE,Theft,COMMERCIAL BUILDING,1.0,9.0,29,Tuesday,Dec,2009
2010-01-03,10H80,1800-1899,MILFORD,Theft,DRIVEWAY,1.0,22.0,3,Sunday,Jan,2010
2010-01-03,10H80,1900-1999,VASSAR,Theft,DRIVEWAY,1.0,22.0,3,Sunday,Jan,2010
2010-01-03,10H80,5100-5199,MORNINGSIDE,Burglary,"GARDEN SUPPLY, NURSERY, FLORIST",1.0,17.0,3,Sunday,Jan,2010
2010-01-03,10H80,2400-2499,SOUTH,Theft,"GYM,RECREAT,CLUB HSE,INDR POOL,SPA",1.0,16.0,3,Sunday,Jan,2010
2010-01-04,10H80,2300-2399,WORDSWORTH,Theft,GARAGE/CARPORT,1.0,18.0,4,Monday,Jan,2010
2010-01-04,10H80,2400-2499,UNIVERSITY,Theft,CLOTHING STORE,1.0,17.0,4,Monday,Jan,2010
2010-01-05,10H80,2300-2399,SWIFT,Burglary,GARAGE/CARPORT,1.0,20.0,5,Tuesday,Jan,2010
2010-01-05,10H80,800-899,ROSEDALE,Theft,DRIVEWAY,1.0,13.0,5,Tuesday,Jan,2010
2010-01-05,10H80,2500-2599,ROBINHOOD,Theft,CONDOMINIUM,1.0,15.0,5,Tuesday,Jan,2010
2010-01-06,10H80,2500-2599,TIMES,Theft,STRIP BUSINESS CENTER PARKING LOT,1.0,10.0,6,Wednesday,Jan,2010
2010-01-06,10H80,6900-6999,MAIN,Robbery,HOTEL/MOTEL/ETC.,1.0,22.0,6,Wednesday,Jan,2010
2010-01-06,10H80,2300-2399,SHERIDAN,Theft,OTHER/UNKNOWN,1.0,0.0,6,Wednesday,Jan,2010
2010-01-07,10H80,2500-2599,UNIVERSITY,Theft,DEPARTMENT/DISCOUNT STORE,1.0,12.0,7,Thursday,Jan,2010
2010-01-09,10H80,2200-2299,BELLEFONTAINE,Burglary,CONDOMINIUM,1.0,20.0,9,Saturday,Jan,2010
2010-01-09,10H80,4100-4199,GREENBRIAR,Theft,APARTMENT PARKING LOT,1.0,15.0,9,Saturday,Jan,2010
2010-01-09,10H80,5200-5299,MONTROSE,Theft,MISC. BUSINESS (NON-SPECIFIC),1.0,8.0,9,Saturday,Jan,2010
2010-01-10,10H80,5600-5699,MORNINGSIDE,Theft,BAR/NIGHT CLUB,1.0,3.0,10,Sunday,Jan,2010
2010-01-11,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,8.0,11,Monday,Jan,2010
2010-01-11,10H80,5000-5099,MORNINGSIDE,Theft,OTHER PARKING LOT,1.0,16.0,11,Monday,Jan,2010
2010-01-12,10H80,2000-2099,ADDISON,Burglary,GARAGE/CARPORT,1.0,2.0,12,Tuesday,Jan,2010
2010-01-12,10H80,7400-7499,MAIN,Theft,HOSPITAL,1.0,13.0,12,Tuesday,Jan,2010
2010-01-13,10H80,0-99,REMINGTON,Burglary,RESIDENCE/HOUSE,1.0,2.0,13,Wednesday,Jan,2010
2010-01-13,10H80,2500-2599,SHERIDAN,Burglary,RESIDENCE/HOUSE,1.0,18.0,13,Wednesday,Jan,2010
2010-01-14,10H80,6600-6699,TRAVIS,Theft,HOTEL/MOTEL/ETC.,1.0,22.0,14,Thursday,Jan,2010
2010-01-15,10H80,2400-2499,DORRINGTON,Burglary,RESIDENCE/HOUSE,1.0,21.0,15,Friday,Jan,2010
2010-01-16,10H80,0-99,CHELSEA,Theft,MISC. BUSINESS (NON-SPECIFIC),1.0,13.0,16,Saturday,Jan,2010
2010-01-16,10H80,5700-5799,MAIN,Theft,HOTEL/MOTEL PARKING LOT,1.0,0.0,16,Saturday,Jan,2010
2010-01-17,10H80,2500-2599,UNIVERSITY,Theft,DEPARTMENT/DISCOUNT STORE,1.0,9.0,17,Sunday,Jan,2010
2010-01-17,10H80,2500-2599,UNIVERSITY,Theft,CLOTHING STORE,1.0,12.0,17,Sunday,Jan,2010
2010-01-17,10H80,2500-2599,UNIVERSITY,Theft,"GYM,RECREAT,CLUB HSE,INDR POOL,SPA",1.0,12.0,17,Sunday,Jan,2010
2010-01-18,10H80,1600-1699,VASSAR,Theft,DRIVEWAY,1.0,23.0,18,Monday,Jan,2010
2010-01-18,10H80,2200-2299,WROXTON,Theft,ROAD/STREET/SIDEWALK,1.0,20.0,18,Monday,Jan,2010
2010-01-18,10H80,2300-2399,SOUTHWEST,Burglary,VACANT BUILDING (COMMERCIAL),1.0,8.0,18,Monday,Jan,2010
2010-01-18,10H80,4100-4199,GREENBRIAR,Theft,APARTMENT,1.0,22.0,18,Monday,Jan,2010
2010-01-19,10H80,1900-1999,SOUTHWEST,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,17.0,19,Tuesday,Jan,2010
2010-01-20,10H80,2300-2399,DUNSTAN,Burglary,RESIDENCE/HOUSE,1.0,12.0,20,Wednesday,Jan,2010
2010-01-20,10H80,1700-1799,SUNSET,Burglary,OTHER/UNKNOWN,1.0,17.0,20,Wednesday,Jan,2010
2010-01-20,10H80,4100-4199,GREENBRIAR,Theft,OTHER PARKING LOT,1.0,12.0,20,Wednesday,Jan,2010
2010-01-21,10H80,2300-2399,SHERIDAN,Burglary,RESIDENCE/HOUSE,1.0,11.0,21,Thursday,Jan,2010
2010-01-21,10H80,5700-5799,MAIN,Theft,HOTEL/MOTEL/ETC.,1.0,16.0,21,Thursday,Jan,2010
2010-01-22,10H80,2400-2499,HOLCOMBE,Robbery,RESTAURANT/CAFETERIA,1.0,6.0,22,Friday,Jan,2010
2010-01-24,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,17.0,24,Sunday,Jan,2010
2010-01-24,10H80,5300-5399,DORA,Burglary,RESIDENCE/HOUSE,1.0,7.0,24,Sunday,Jan,2010
2010-01-24,10H80,2400-2499,UNIVERSITY,Theft,MALL PARKING LOT,1.0,21.0,24,Sunday,Jan,2010
2010-01-24,10H80,1900-1999,SOUTH,Theft,ROAD/STREET/SIDEWALK,1.0,21.0,24,Sunday,Jan,2010
2010-01-26,10H80,2200-2299,NORTH,Burglary,RESIDENCE/HOUSE,1.0,15.0,26,Tuesday,Jan,2010
2010-01-26,10H80,2200-2299,NORTH,Burglary,RESIDENCE/HOUSE,1.0,15.0,26,Tuesday,Jan,2010
2010-01-27,10H80,5000-5099,MONTROSE,Theft,APARTMENT PARKING LOT,1.0,18.0,27,Wednesday,Jan,2010
2010-01-27,10H80,5000-5099,MONTROSE,Theft,APARTMENT PARKING LOT,1.0,22.0,27,Wednesday,Jan,2010
2010-01-28,10H80,6200-6299,KIRBY,Aggravated Assault,ROAD/STREET/SIDEWALK,1.0,2.0,28,Thursday,Jan,2010
2010-01-28,10H80,2500-2599,UNIVERSITY,Theft,BAR/NIGHT CLUB,1.0,0.0,28,Thursday,Jan,2010
2010-01-29,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,18.0,29,Friday,Jan,2010
2010-02-01,10H80,2000-2099,MCCLENDON,Burglary,RESIDENCE/HOUSE,1.0,10.0,1,Monday,Feb,2010
2010-02-02,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,0.0,2,Tuesday,Feb,2010
2010-02-02,10H80,5000-5099,MORNINGSIDE,Theft,ROAD/STREET/SIDEWALK,1.0,17.0,2,Tuesday,Feb,2010
2010-02-02,10H80,5800-5899,KIRBY,Robbery,RESTAURANT/CAFETERIA,1.0,7.0,2,Tuesday,Feb,2010
2010-02-02,10H80,1300-1399,BANKS,Burglary,GARAGE/CARPORT,1.0,20.0,2,Tuesday,Feb,2010
2010-02-03,10H80,700-799,ROSEDALE,Burglary,"MULTI-PLEX HME(DUPLEX,TRIPLEX ETC)",1.0,8.0,3,Wednesday,Feb,2010
2010-02-04,10H80,800-899,ROSEDALE,Burglary,RESIDENCE/HOUSE,1.0,11.0,4,Thursday,Feb,2010
2010-02-04,10H80,2400-2499,UNIVERSITY,Theft,CLOTHING STORE,1.0,16.0,4,Thursday,Feb,2010
2010-02-04,10H80,2500-2599,UNIVERSITY,Theft,BAR/NIGHT CLUB,1.0,1.0,4,Thursday,Feb,2010
2010-02-05,10H80,2500-2599,AMHERST,Theft,SPECIALTY STORE (NON-SPECIFIC),1.0,19.0,5,Friday,Feb,2010
2010-02-05,10H80,5500-5599,KELVIN,Theft,CLOTHING STORE,1.0,15.0,5,Friday,Feb,2010
2010-02-06,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA,1.0,1.0,6,Saturday,Feb,2010
2010-02-06,10H80,5700-5799,MAIN,Theft,HOTEL/MOTEL PARKING LOT,1.0,10.0,6,Saturday,Feb,2010
2010-02-06,10H80,5500-5599,KELVIN,Theft,DEPARTMENT/DISCOUNT STORE,1.0,14.0,6,Saturday,Feb,2010
2010-02-07,10H80,2100-2199,SUNSET,Burglary,RESIDENCE/HOUSE,1.0,18.0,7,Sunday,Feb,2010
2010-02-07,10H80,1700-1799,BANKS,Theft,ROAD/STREET/SIDEWALK,1.0,1.0,7,Sunday,Feb,2010
2010-02-07,10H80,1200-1299,BANKS,Theft,APARTMENT PARKING LOT,1.0,0.0,7,Sunday,Feb,2010
2010-02-08,10H80,2300-2399,ADDISON,Theft,APARTMENT,1.0,23.0,8,Monday,Feb,2010
2010-02-09,10H80,0-99,PINEDALE,Burglary,APARTMENT,1.0,8.0,9,Tuesday,Feb,2010
2010-02-09,10H80,1500-1599,VASSAR,Theft,DRIVEWAY,1.0,12.0,9,Tuesday,Feb,2010
2010-02-09,10H80,1900-1999,SUNSET,Theft,"PARKS & RECREATION, ZOO, SWIM POOL",1.0,13.0,9,Tuesday,Feb,2010
2010-02-10,10H80,2500-2599,DUNSTAN,Theft,MISC. BUSINESS (NON-SPECIFIC),1.0,19.0,10,Wednesday,Feb,2010
2010-02-10,10H80,1300-1399,NORTH,Burglary,RESIDENCE/HOUSE,1.0,7.0,10,Wednesday,Feb,2010
2010-02-10,10H80,2200-2299,MARONEAL,Burglary,APARTMENT,1.0,15.0,10,Wednesday,Feb,2010
2010-02-10,10H80,2100-2199,BANKS,Burglary,RESIDENCE/HOUSE,1.0,5.0,10,Wednesday,Feb,2010
2010-02-10,10H80,2500-2599,RICE,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,20.0,10,Wednesday,Feb,2010
2010-02-11,10H80,2500-2599,DUNSTAN,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,22.0,11,Thursday,Feb,2010
2010-02-11,10H80,2400-2499,UNIVERSITY,Theft,DEPARTMENT/DISCOUNT STORE,1.0,20.0,11,Thursday,Feb,2010
2010-02-11,10H80,5600-5699,MORNINGSIDE,Theft,BAR/NIGHT CLUB,1.0,23.0,11,Thursday,Feb,2010
2010-02-11,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,9.0,11,Thursday,Feb,2010
2010-02-12,10H80,2400-2499,RICE,Theft,SPECIALTY STORE (NON-SPECIFIC),1.0,14.0,12,Friday,Feb,2010
2010-02-12,10H80,2400-2499,HOLCOMBE,Theft,HOSPITAL PARKING LOT,1.0,22.0,12,Friday,Feb,2010
2010-02-13,10H80,2500-2599,BARTLETT,Theft,OTHER PARKING LOT,1.0,13.0,13,Saturday,Feb,2010
2010-02-15,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,13.0,15,Monday,Feb,2010
2010-02-15,10H80,2300-2399,BISSONNET,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,7.0,15,Monday,Feb,2010
2010-02-15,10H80,2200-2299,MARONEAL,Burglary,APARTMENT/RENTAL OFFICE,1.0,17.0,15,Monday,Feb,2010
2010-02-15,10H80,1700-1799,BANKS,Burglary,RESIDENCE/HOUSE,1.0,23.0,15,Monday,Feb,2010
2010-02-15,10H80,1000-1099,BISSONNET,Theft,"THEATRES,DINNER THEATERS,AUDITOR.",1.0,14.0,15,Monday,Feb,2010
2010-02-15,10H80,4900-4999,YOAKUM,Burglary,GARAGE/CARPORT,1.0,19.0,15,Monday,Feb,2010
2010-02-15,10H80,5600-5699,MORNINGSIDE,Burglary,BAR/NIGHT CLUB,1.0,3.0,15,Monday,Feb,2010
2010-02-16,10H80,2100-2199,NORTH,Burglary,RESIDENCE/HOUSE,1.0,17.0,16,Tuesday,Feb,2010
2010-02-16,10H80,2300-2399,UNDERWOOD,Theft,ROAD/STREET/SIDEWALK,1.0,10.0,16,Tuesday,Feb,2010
2010-02-17,10H80,2400-2499,BISSONNET,Theft,DEPARTMENT/DISCOUNT STORE,1.0,13.0,17,Wednesday,Feb,2010
2010-02-17,10H80,2500-2599,GLEN HAVEN,Burglary,RESIDENCE/HOUSE,1.0,8.0,17,Wednesday,Feb,2010
2010-02-17,10H80,2400-2499,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,18.0,17,Wednesday,Feb,2010
2010-02-18,10H80,7100-7199,MONTCLAIR,Theft,OTHER/UNKNOWN,1.0,13.0,18,Thursday,Feb,2010
2010-02-19,10H80,7500-7599,MAIN,Burglary,OFFICE BUILDING,1.0,3.0,19,Friday,Feb,2010
2010-02-19,10H80,2400-2499,TIMES,Theft,DEPARTMENT/DISCOUNT STORE,1.0,19.0,19,Friday,Feb,2010
2010-02-19,10H80,4600-4699,MONTROSE,Burglary,COMMERCIAL BUILDING,1.0,18.0,19,Friday,Feb,2010
2010-02-20,10H80,700-799,CHELSEA,Burglary,APARTMENT,1.0,16.0,20,Saturday,Feb,2010
2010-02-20,10H80,1200-1299,BANKS,Burglary,APARTMENT,1.0,15.0,20,Saturday,Feb,2010
2010-02-20,10H80,1200-1299,AUTREY,Burglary,APARTMENT,1.0,9.0,20,Saturday,Feb,2010
2010-02-20,10H80,2500-2599,RICE,Theft,SERVICE/GAS STATION,1.0,23.0,20,Saturday,Feb,2010
2010-02-20,10H80,2000-2099,WROXTON,Burglary,GARAGE/CARPORT,1.0,12.0,20,Saturday,Feb,2010
2010-02-21,10H80,7000-7099,GREENBRIAR,Theft,APARTMENT PARKING LOT,1.0,19.0,21,Sunday,Feb,2010
2010-02-21,10H80,2500-2599,UNIVERSITY,Theft,DEPARTMENT/DISCOUNT STORE,1.0,17.0,21,Sunday,Feb,2010
2010-02-21,10H80,1700-1799,VASSAR,Theft,RESIDENCE/HOUSE,1.0,0.0,21,Sunday,Feb,2010
2010-02-21,10H80,5100-5199,MORNINGSIDE,Theft,OTHER/UNKNOWN,1.0,18.0,21,Sunday,Feb,2010
2010-02-22,10H80,2200-2299,UNIVERSITY,Theft,DRIVEWAY,1.0,7.0,22,Monday,Feb,2010
2010-02-22,10H80,2200-2299,DRYDEN,Theft,RESIDENCE/HOUSE,1.0,0.0,22,Monday,Feb,2010
2010-02-23,10H80,2100-2199,UNIVERSITY,Burglary,"VACANT SINGLE OCCUPANCY RESIDENCE (HOUSES,TOWNHOUSES,DUPLEXES, ETC.)",1.0,18.0,23,Tuesday,Feb,2010
2010-02-23,10H80,6200-6299,KIRBY,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,9.0,23,Tuesday,Feb,2010
2010-02-23,10H80,4600-4699,MONTROSE,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,20.0,23,Tuesday,Feb,2010
2010-02-23,10H80,4600-4699,MONTROSE,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,19.0,23,Tuesday,Feb,2010
2010-02-23,10H80,200-299,PORTLAND,Theft,ROAD/STREET/SIDEWALK,1.0,6.0,23,Tuesday,Feb,2010
2010-02-25,10H80,2400-2499,HOLCOMBE,Burglary,LAUNDRY/DRY CLEANERS/WASHATERIAS,1.0,19.0,25,Thursday,Feb,2010
2010-02-26,10H80,1800-1899,ALBANS,Burglary,RESIDENCE/HOUSE,1.0,21.0,26,Friday,Feb,2010
2010-02-26,10H80,5500-5599,MORNINGSIDE,Theft,BAR/NIGHT CLUB,1.0,22.0,26,Friday,Feb,2010
2010-02-26,10H80,2500-2599,SOUTHWEST,Theft,OTHER PARKING LOT,1.0,21.0,26,Friday,Feb,2010
2010-02-26,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,7.0,26,Friday,Feb,2010
2010-02-27,10H80,6600-6699,TRAVIS,Theft,HOTEL/MOTEL/ETC.,1.0,9.0,27,Saturday,Feb,2010
2010-02-28,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,2.0,28,Sunday,Feb,2010
2010-02-28,10H80,2300-2399,SHERIDAN,Theft,RESIDENCE/HOUSE,1.0,12.0,28,Sunday,Feb,2010
2010-03-01,10H80,2400-2499,TIMES,Theft,COMMERCIAL BUILDING,1.0,16.0,1,Monday,Mar,2010
2010-03-01,10H80,2300-2399,QUENBY,Theft,ROAD/STREET/SIDEWALK,1.0,11.0,1,Monday,Mar,2010
2010-03-02,10H80,2500-2599,UNIVERSITY,Theft,CLOTHING STORE,1.0,19.0,2,Tuesday,Mar,2010
2010-03-02,10H80,2300-2399,WATTS,Theft,DRIVEWAY,1.0,19.0,2,Tuesday,Mar,2010
2010-03-02,10H80,2500-2599,SOUTHGATE,Burglary,RESIDENCE/HOUSE,1.0,7.0,2,Tuesday,Mar,2010
2010-03-03,10H80,5500-5599,MORNINGSIDE,Aggravated Assault,BAR/NIGHT CLUB,1.0,21.0,3,Wednesday,Mar,2010
2010-03-04,10H80,1200-1299,AUTREY,Theft,APARTMENT PARKING LOT,1.0,1.0,4,Thursday,Mar,2010
2010-03-04,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,21.0,4,Thursday,Mar,2010
2010-03-04,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,22.0,4,Thursday,Mar,2010
2010-03-04,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,20.0,4,Thursday,Mar,2010
2010-03-04,10H80,4800-4899,GRAUSTARK,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,4,Thursday,Mar,2010
2010-03-05,10H80,0-99,PINEDALE,Burglary,"MULTI-PLEX HME(DUPLEX,TRIPLEX ETC)",1.0,6.0,5,Friday,Mar,2010
2010-03-05,10H80,5000-5099,MONTROSE,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,7.0,5,Friday,Mar,2010
2010-03-05,10H80,6700-6799,TRAVIS,Theft,APARTMENT PARKING LOT,1.0,0.0,5,Friday,Mar,2010
2010-03-06,10H80,2500-2599,UNIVERSITY,Theft,SPECIALTY STORE (NON-SPECIFIC),1.0,19.0,6,Saturday,Mar,2010
2010-03-06,10H80,700-799,CHELSEA,Theft,APARTMENT PARKING LOT,1.0,21.0,6,Saturday,Mar,2010
2010-03-07,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,0.0,7,Sunday,Mar,2010
2010-03-07,10H80,1100-1199,AUTREY,Burglary,"MULTI-PLEX HME(DUPLEX,TRIPLEX ETC)",1.0,16.0,7,Sunday,Mar,2010
2010-03-07,10H80,2400-2499,BARTLETT,Burglary,COMMERCIAL BUILDING,1.0,18.0,7,Sunday,Mar,2010
2010-03-09,10H80,2500-2599,UNIVERSITY,Theft,CLOTHING STORE,1.0,13.0,9,Tuesday,Mar,2010
2010-03-09,10H80,6600-6699,MAIN,Theft,OTHER PARKING LOT,1.0,15.0,9,Tuesday,Mar,2010
2010-03-09,10H80,4800-4899,WOODHEAD,Auto Theft,DRIVEWAY,1.0,22.0,9,Tuesday,Mar,2010
2010-03-09,10H80,2500-2599,RICE,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,10.0,9,Tuesday,Mar,2010
2010-03-10,10H80,4700-4799,MAIN,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,17.0,10,Wednesday,Mar,2010
2010-03-10,10H80,700-799,ROSEDALE,Theft,ROAD/STREET/SIDEWALK,1.0,19.0,10,Wednesday,Mar,2010
2010-03-10,10H80,2200-2299,MARONEAL,Theft,APARTMENT PARKING LOT,1.0,18.0,10,Wednesday,Mar,2010
2010-03-10,10H80,2500-2599,UNIVERSITY,Theft,CLOTHING STORE,1.0,15.0,10,Wednesday,Mar,2010
2010-03-11,10H80,2100-2199,RICE,Theft,OTHER PARKING LOT,1.0,19.0,11,Thursday,Mar,2010
2010-03-11,10H80,2500-2599,AMHERST,Theft,CLOTHING STORE,1.0,13.0,11,Thursday,Mar,2010
2010-03-11,10H80,4100-4199,GREENBRIAR,Theft,HOSPITAL PARKING LOT,1.0,11.0,11,Thursday,Mar,2010
2010-03-12,10H80,1600-1699,BANKS,Theft,RESIDENCE/HOUSE,1.0,10.0,12,Friday,Mar,2010
2010-03-12,10H80,5500-5599,KELVIN,Theft,CLOTHING STORE,1.0,14.0,12,Friday,Mar,2010
2010-03-12,10H80,2500-2599,UNIVERSITY,Theft,CLOTHING STORE,1.0,16.0,12,Friday,Mar,2010
2010-03-15,10H80,1700-1799,BANKS,Theft,ROAD/STREET/SIDEWALK,1.0,15.0,15,Monday,Mar,2010
2010-03-15,10H80,2200-2299,HOLCOMBE,Theft,DRUG STORE/MEDICAL SUPPLY,1.0,16.0,15,Monday,Mar,2010
2010-03-15,10H80,1800-1899,BANKS,Theft,RESIDENCE/HOUSE,1.0,21.0,15,Monday,Mar,2010
2010-03-16,10H80,2500-2599,SOUTHWEST,Theft,SERVICE/GAS STATION,1.0,19.0,16,Tuesday,Mar,2010
2010-03-16,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,7.0,16,Tuesday,Mar,2010
2010-03-16,10H80,5600-5699,MORNINGSIDE,Theft,BAR/NIGHT CLUB,1.0,22.0,16,Tuesday,Mar,2010
2010-03-17,10H80,5500-5599,MORNINGSIDE,Theft,BAR/NIGHT CLUB,1.0,23.0,17,Wednesday,Mar,2010
2010-03-18,10H80,5400-5499,KIRBY,Aggravated Assault,ROAD/STREET/SIDEWALK,1.0,2.0,18,Thursday,Mar,2010
2010-03-18,10H80,5500-5599,KELVIN,Robbery,CLOTHING STORE,1.0,18.0,18,Thursday,Mar,2010
2010-03-18,10H80,2300-2399,BISSONNET,Theft,LAUNDRY/DRY CLEANERS PARKING LOT,1.0,12.0,18,Thursday,Mar,2010
2010-03-20,10H80,5800-5899,KIRBY,Robbery,MISC. BUSINESS (NON-SPECIFIC),1.0,21.0,20,Saturday,Mar,2010
2010-03-21,10H80,2200-2299,MARONEAL,Burglary,APARTMENT,1.0,15.0,21,Sunday,Mar,2010
2010-03-22,10H80,5300-5399,INSTITUTE,Theft,OTHER PARKING LOT,1.0,17.0,22,Monday,Mar,2010
2010-03-22,10H80,200-299,PORTLAND,Burglary,RESIDENCE/HOUSE,1.0,6.0,22,Monday,Mar,2010
2010-03-24,10H80,4100-4199,NORTHAMPTON PLACE,Burglary,RESIDENCE/HOUSE,1.0,20.0,24,Wednesday,Mar,2010
2010-03-24,10H80,5600-5699,CHAUCER,Theft,ROAD/STREET/SIDEWALK,1.0,23.0,24,Wednesday,Mar,2010
2010-03-25,10H80,2500-2599,UNIVERSITY,Theft,CLOTHING STORE,1.0,10.0,25,Thursday,Mar,2010
2010-03-26,10H80,2500-2599,BELLEFONTAINE,Burglary,RESIDENCE/HOUSE,1.0,10.0,26,Friday,Mar,2010
2010-03-26,10H80,6200-6299,KIRBY,Theft,RESTAURANT/CAFETERIA,1.0,20.0,26,Friday,Mar,2010
2010-03-27,10H80,1100-1199,AUTREY,Burglary,"MULTI-PLEX HME(DUPLEX,TRIPLEX ETC)",1.0,18.0,27,Saturday,Mar,2010
2010-03-27,10H80,1300-1399,BANKS,Burglary,RESIDENCE/HOUSE,1.0,18.0,27,Saturday,Mar,2010
2010-03-29,10H80,2400-2499,UNDERWOOD,Theft,APARTMENT PARKING LOT,1.0,0.0,29,Monday,Mar,2010
2010-03-29,10H80,5100-5199,MONTROSE,Theft,OTHER PARKING LOT,1.0,18.0,29,Monday,Mar,2010
2010-03-30,10H80,0-99,PINEDALE,Burglary,CONDOMINIUM,1.0,10.0,30,Tuesday,Mar,2010
2010-03-30,10H80,5600-5699,MORNINGSIDE,Theft,OTHER PARKING LOT,1.0,14.0,30,Tuesday,Mar,2010
2010-03-30,10H80,2500-2599,SOUTHWEST,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,8.0,30,Tuesday,Mar,2010
2010-03-31,10H80,2500-2599,RICE,Theft,RESTAURANT/CAFETERIA,1.0,11.0,31,Wednesday,Mar,2010
2010-03-31,10H80,0-99,PINEDALE,Burglary,"MULTI-PLEX HME(DUPLEX,TRIPLEX ETC)",1.0,8.0,31,Wednesday,Mar,2010
